Datum;Schluss;Eröffnung;Tageshoch;Tagestief
28.05.2021;57,1;57,15;57,34;56,8
27.05.2021;56,96;56,4;57;55,85
26.05.2021;56,47;56,2;56,71;55,77
25.05.2021;56,04;55,89;56,24;55,37
24.05.2021;56,03;54,61;56,18;54,39
21.05.2021;54,54;53,54;54,95;53,01
20.05.2021;53,24;54,48;54,92;52,98
19.05.2021;54,75;56,19;56,23;53,64
18.05.2021;56,22;56,95;57,47;55,05
17.05.2021;57,15;56,71;57,28;56,1
14.05.2021;56,57;55,16;56,72;54,75
13.05.2021;55,5;57,01;57,15;55,03
12.05.2021;57,42;56,97;57,9;56,48
11.05.2021;56,42;56,2;56,58;55,25
10.05.2021;56,32;56,66;57,04;55,57
07.05.2021;56,13;56,11;56,43;55,4
06.05.2021;56,44;56,75;57,5;56,31
05.05.2021;57,44;57,76;58,26;56,93
04.05.2021;57,34;56,39;57,85;56,08
03.05.2021;56;55,29;56,21;54,79
30.04.2021;55,96;56,86;56,91;55,8
29.04.2021;56,56;55,42;56,88;55,38
28.04.2021;55,47;54,9;55,95;54,53
27.04.2021;54,94;54,39;55,25;54,31
26.04.2021;54,32;54,69;54,82;53,43
23.04.2021;54,63;54,38;54,79;53,85
22.04.2021;54,43;54,2;54,78;53,74
21.04.2021;54,27;55,02;55,27;53,97
20.04.2021;55,31;55,83;56,57;54,43
19.04.2021;55,71;55,42;55,86;54,98
16.04.2021;55,71;55,78;56,22;55,43
15.04.2021;55,92;55,45;56;55,09
14.04.2021;55,57;53,42;55,84;53,32
13.04.2021;53,27;52,91;53,71;52,86
12.04.2021;53,11;52,9;53,98;52,38
09.04.2021;52,93;53,2;53,38;52,61
08.04.2021;53,04;52,88;53,23;52,35
07.04.2021;53,2;52,73;53,53;51,89
06.04.2021;52,84;52,49;54,14;52,29
05.04.2021;52,61;54,66;54,86;51,85
01.04.2021;55,07;53,59;55,33;52,96
31.03.2021;54,18;54,68;55,24;54,17
30.03.2021;54,73;55,64;55,82;54,2
29.03.2021;55,22;54,88;55,62;53,64
26.03.2021;54,61;52,44;54,88;52,31
25.03.2021;52,63;54,36;54,53;51,8
24.03.2021;54,54;51,23;54,67;51,2
23.03.2021;51,3;54,26;54,26;50,86
22.03.2021;54,14;54,07;54,56;53,16
19.03.2021;54,01;52,72;54,36;51,95
18.03.2021;53,1;56,87;57,19;51,56
17.03.2021;56,75;57,07;57,49;55,88
16.03.2021;57,46;57,81;57,92;56,59
15.03.2021;57,76;57,93;58,73;56,87
12.03.2021;57,91;58,22;58,48;57,75
11.03.2021;58,1;57,11;58,27;56,73
10.03.2021;56,93;56,56;57,37;55,76
09.03.2021;56,73;57,24;58,25;56,4
08.03.2021;57,59;59,05;60,24;57,22
05.03.2021;58,22;56,38;58,5;55,97
04.03.2021;55,74;53,53;56,58;52,89
03.03.2021;53,12;51,71;53,64;51,71
02.03.2021;51,88;52,23;53,06;51,62
01.03.2021;52,85;53,82;54,71;52,42
26.02.2021;54,77;55,4;55,41;54,43
25.02.2021;54,89;55,16;55,57;54,57
24.02.2021;55,12;53,49;55,34;53,28
23.02.2021;53,78;53,9;54,95;53,04
22.02.2021;53,65;51,55;54,16;51,44
19.02.2021;51,91;52,23;52,76;51,23
18.02.2021;52,87;53,77;54,19;52,28
17.02.2021;53,41;52,42;53,93;52,08
16.02.2021;52,34;52,44;52,63;51,79
15.02.2021;52,19;51,8;52,57;51,79
12.02.2021;51,51;50,18;51,84;49,8
11.02.2021;50,38;50,27;50,68;50,04
10.02.2021;50,72;50,51;50,91;50,23
09.02.2021;50,41;50,17;50,61;49,55
08.02.2021;50,25;49,31;50,38;49,31
05.02.2021;49,25;49,11;49,62;49,03
04.02.2021;49,18;48,97;49,42;48,51
03.02.2021;48,57;48,06;48,97;47,77
02.02.2021;47,71;46,79;48,2;46,77
01.02.2021;46,72;45,52;46,87;45,27
29.01.2021;46,04;45,74;46,44;45,57
28.01.2021;45,81;45,71;46,68;45,63
27.01.2021;46,09;46,29;46,66;45,59
26.01.2021;45,97;45,98;46,32;45,54
25.01.2021;46,02;45,51;46,14;45,35
22.01.2021;45,51;46;46,02;44,75
21.01.2021;46,11;45,88;46,23;45,61
20.01.2021;46,31;46,3;46,77;45,96
19.01.2021;46,09;45,36;46,24;45,26
18.01.2021;45,33;45,33;45,71;45,11
15.01.2021;45,56;46,64;46,72;45,18
14.01.2021;46,42;46,02;46,54;45,45
13.01.2021;46,11;46,74;47,23;45,87
12.01.2021;46,36;45,61;46,53;45,49
11.01.2021;45,79;46,27;46,39;45,24
08.01.2021;45,8;44,63;46,1;44,45
07.01.2021;44,33;44,12;44,75;43,97
06.01.2021;44,05;43,42;44,4;43,01
05.01.2021;43,59;41,44;43,84;41,23
04.01.2021;41,7;42,04;43,53;41,27
31.12.2020;42,32;42,07;42,36;41,59
30.12.2020;41,74;41,73;41,92;41,5
29.12.2020;41,69;41,64;42,13;41,51
28.12.2020;41,66;41,98;42,61;41,39
24.12.2020;42,1;41,95;42,5;41,55
23.12.2020;42;40,77;42,32;40,36
22.12.2020;41,17;41,63;41,81;40,74
21.12.2020;41,6;42,67;42,75;40,2
18.12.2020;42,61;41,93;42,79;41,69
17.12.2020;41,97;41,66;42,3;41,63
16.12.2020;41,88;41,52;41,97;41,27
15.12.2020;41,77;41,39;41,88;40,97
14.12.2020;41,41;41,21;41,83;40,45
11.12.2020;41,26;41,66;41,9;41,07
10.12.2020;41,39;40,36;42,05;40,24
09.12.2020;40,44;40,42;41,01;40,06
08.12.2020;40,34;40,13;40,47;39,72
07.12.2020;40,29;40,65;40,82;39,97
04.12.2020;40,63;40,39;41,18;40,29
03.12.2020;40,11;39,52;40,3;39,25
02.12.2020;39,83;38,84;40,26;38,65
01.12.2020;39,28;39,59;40,01;38,83
30.11.2020;39,89;40,16;40,22;39,27
27.11.2020;40,27;39,96;40,48;39,57
26.11.2020;40,14;40,94;41,22;39,91
25.11.2020;40,8;40,12;41,17;40,05
24.11.2020;40,24;38,59;40,38;38,58
23.11.2020;38,91;38,08;38,96;37,92
20.11.2020;37,91;37,23;38,15;37,14
19.11.2020;37,23;37,03;37,54;36,89
18.11.2020;37,41;36,91;37,87;36,68
17.11.2020;36,88;37;37,3;36,31
16.11.2020;36,96;36,02;37,68;36,02
13.11.2020;36,15;36,51;36,62;36,02
12.11.2020;36,87;37,04;37,69;36,64
11.11.2020;37,19;37,16;38,46;37,02
10.11.2020;36,89;35,32;37,31;35,28
09.11.2020;35,89;33,56;36,8;33,4
06.11.2020;33,24;34,23;34,28;33,14
05.11.2020;34,61;34,64;35,12;34,1
04.11.2020;35,17;34,23;35,26;33,63
03.11.2020;33,87;33,49;34,5;32,97
02.11.2020;33,48;32,1;33,81;30,7
30.10.2020;32,08;32,12;32,63;31,52
29.10.2020;32,26;33,55;33,8;31,4
28.10.2020;33,29;34,56;34,64;32,98
27.10.2020;34,98;34,39;35,21;34,3
26.10.2020;34,26;35,16;35,25;34,05
23.10.2020;35,22;35,75;36,09;34,99
22.10.2020;35,92;35,19;36,2;35,08
21.10.2020;35,18;36,18;36,29;34,94
20.10.2020;36,5;35,9;36,62;35,68
19.10.2020;36,22;36,27;36,73;35,99
16.10.2020;36,64;36,79;36,88;36,08
15.10.2020;36,86;37,11;37,13;35,49
14.10.2020;36,87;36,12;36,98;35,86
13.10.2020;36,14;35,6;36,34;35,47
12.10.2020;35,32;36,06;36,16;35,01
09.10.2020;36,23;36,66;36,84;36,03
08.10.2020;36,85;35,84;36,96;35,59
07.10.2020;35,69;35,57;36,05;35,15
06.10.2020;36,35;35,3;36,51;35,13
05.10.2020;35,04;33,26;35,46;33,22
02.10.2020;33,52;34,7;34,8;33,11
01.10.2020;34,84;35,9;36,23;33,98
30.09.2020;34,93;34,68;34,96;34,38
29.09.2020;34,94;36,17;36,21;34,43
28.09.2020;36,38;35,9;36,54;35,56
25.09.2020;36,04;35,98;36,39;35,69
24.09.2020;35,93;35,44;36;35,36
23.09.2020;35,82;35,74;36,55;35,34
22.09.2020;35,63;35,69;36,04;35,2
21.09.2020;35,21;36,54;36,79;34,8
18.09.2020;36,45;36,5;36,99;35,92
17.09.2020;36,56;35,73;36,73;35,04
16.09.2020;35,74;34,47;35,92;34,36
15.09.2020;34,21;33,51;34,45;33,24
14.09.2020;33,38;33,52;33,78;33,12
11.09.2020;33,63;33,74;34,06;33,25
10.09.2020;33,89;34,33;34,65;33,59
09.09.2020;34,55;33,59;34,9;33,35
08.09.2020;33,79;35,74;35,87;33,39
07.09.2020;35,55;35,71;35,91;35,13
04.09.2020;36,03;36,96;37,62;35,73
03.09.2020;37,19;37,68;37,68;36,41
02.09.2020;37,48;38,66;38,84;37,28
01.09.2020;38,25;38,27;38,79;38,16
31.08.2020;37,92;38,36;38,97;37,86
28.08.2020;37,84;37,88;38,05;37,63
27.08.2020;38,14;38,66;38,8;37,69
26.08.2020;38,58;38,86;38,97;38,49
25.08.2020;38,75;38,12;38,93;38,09
24.08.2020;38,28;37,74;38,32;37,57
21.08.2020;37,59;38,17;38,21;36,95
20.08.2020;37,85;38,05;38,09;37,11
19.08.2020;38,3;38,14;38,4;37,83
18.08.2020;38,09;37,94;38,17;37,51
17.08.2020;38,21;37,78;38,24;37,5
14.08.2020;37,83;38,24;38,24;37,55
13.08.2020;38,05;38,36;38,58;37,94
12.08.2020;38,56;37,87;38,73;37,76
11.08.2020;37,9;38,36;39;37,8
10.08.2020;38,32;38,04;38,55;37,8
07.08.2020;37,67;38,3;38,43;37,56
06.08.2020;37,96;38,15;38,48;37,75
05.08.2020;38,06;37,31;38,96;37,28
04.08.2020;37,66;37,16;37,99;36,65
03.08.2020;37,54;37,01;37,8;36,47
31.07.2020;36,76;36,75;36,88;36,55
30.07.2020;36,26;36,93;36,99;34,94
29.07.2020;37,1;36,73;37,27;36,64
28.07.2020;36,87;37,15;37,4;36,68
27.07.2020;36,94;36,89;37,25;36,07
24.07.2020;37,18;37,12;37,66;36,71
23.07.2020;37,34;38,03;38,6;37,19
22.07.2020;38,26;38,04;38,36;37,68
21.07.2020;38,43;37,43;38,92;37,42
20.07.2020;37,82;37,64;37,97;37,01
17.07.2020;37,75;37,98;38,02;37,31
16.07.2020;38,11;38,4;38,48;37,9
15.07.2020;38,38;37,75;38,43;37,42
14.07.2020;37,62;37,04;37,9;36,66
13.07.2020;37,65;38;38,19;37,13
10.07.2020;38,26;37,49;38,42;36,56
09.07.2020;37,53;38,37;38,55;37,17
08.07.2020;38,2;37,77;38,36;37,72
07.07.2020;38,21;38,25;38,54;37,66
06.07.2020;38,1;37,83;38,64;37,78
03.07.2020;38,05;38,01;38,22;37,62
02.07.2020;38,38;37,22;38,46;37,12
01.07.2020;37,36;36,96;37,88;36,47
30.06.2020;36,63;36,8;37,05;36,41
29.06.2020;37,1;36,08;37,32;35,62
26.06.2020;36,56;36,94;37,27;35,91
25.06.2020;36,6;35,97;37,12;35,19
24.06.2020;35,82;37,72;38,11;35,21
23.06.2020;37,69;38,2;38,84;37,32
22.06.2020;38,25;37,06;38,34;36,92
19.06.2020;37,74;37,32;38,4;36,7
18.06.2020;37,05;36,09;37,17;35,76
17.06.2020;36,2;36,12;36,87;35,6
16.06.2020;36,37;35,47;36,99;34,59
15.06.2020;35,07;34,26;35,23;32,88
12.06.2020;34,41;33,65;35,05;32,88
11.06.2020;34,14;36,26;36,32;33,49
10.06.2020;36,68;35,79;36,91;35,28
09.06.2020;36,32;36,24;36,55;35,14
08.06.2020;36,13;37,55;38,44;36,02
05.06.2020;37,49;35,31;37,65;35,2
04.06.2020;35,28;34,93;35,38;34,44
03.06.2020;35,41;35,37;36,06;34,49
02.06.2020;35,43;34,33;35,59;34,25
01.06.2020;34,42;33,74;34,75;33,4
29.05.2020;31,83;31,67;31,87;30,69
28.05.2020;31,85;30,61;32,44;30,34
27.05.2020;31,56;32,64;32,85;30,87
26.05.2020;32,95;32,49;33,42;32,12
25.05.2020;32,61;32,11;33,02;31,63
22.05.2020;32,24;33,2;33,25;30,78
21.05.2020;32,94;32,72;33,78;32,65
20.05.2020;32,57;31,38;33,21;31,32
19.05.2020;31,73;32,65;32,74;31,31
18.05.2020;31,88;30,03;32,72;29,94
15.05.2020;30,04;29,13;30,42;28,6
14.05.2020;28,81;27,32;29,2;26,72
13.05.2020;26,98;27,13;28,24;26,68
12.05.2020;27,64;27,72;28,3;27,06
11.05.2020;27,42;28,41;29,12;27,16
08.05.2020;28,26;27,01;28,42;26,86
07.05.2020;27,19;27,36;29,39;26,84
06.05.2020;27,53;29,89;29,89;26,55
05.05.2020;28,56;25,92;29,57;25,61
04.05.2020;24,95;23,94;25,75;23,39
01.05.2020;23,9;24,36;25,2;23,28
30.04.2020;23,08;20,88;23,52;20,88
29.04.2020;20,73;19;21,96;18,88
28.04.2020;18,91;18,39;19,67;17,31
27.04.2020;18,46;19,9;20,23;17,64
24.04.2020;19,87;20,33;21,04;19
23.04.2020;19,79;19,38;21,54;18,62
22.04.2020;18,82;18,69;20,74;14,77
21.04.2020;17,8;24,25;24,41;16,13
20.04.2020;23,52;25,81;25,99;23,34
17.04.2020;25,83;26,36;26,61;25,37
16.04.2020;25,62;25,83;26,7;25,04
15.04.2020;25,38;27,74;27,8;24,9
14.04.2020;26,94;29,35;29,41;26,74
13.04.2020;29,1;31,16;31,16;28,08
09.04.2020;28,81;30,95;33,31;28,53
08.04.2020;30,25;30,06;31,2;29,05
07.04.2020;29,26;30,91;31,39;29,14
06.04.2020;30,61;29,42;31,72;27,82
03.04.2020;31,55;27,65;32,38;26,13
02.04.2020;27,58;23,59;33,43;23,44
01.04.2020;22,61;23,75;24,02;22,41
31.03.2020;20,61;20,85;21,64;20,48
30.03.2020;20,6;21,59;22,12;19,6
27.03.2020;22,32;23,89;24,18;21,61
26.03.2020;23,86;24,77;25,13;23,58
25.03.2020;25,18;25,55;26;23,6
24.03.2020;25,12;25,64;26,5;24,69
23.03.2020;25,16;24,9;25,63;22,97
20.03.2020;25,07;26,11;28,75;24,91
19.03.2020;26,69;25,49;27,59;23,4
18.03.2020;22,75;25,97;26,71;22,42
17.03.2020;26,08;27,36;28,37;25,87
16.03.2020;26,9;32,07;32,09;26,37
13.03.2020;30,59;29,68;32,66;29,37
12.03.2020;29,73;32,2;32,62;29,08
11.03.2020;31,79;33,11;35,27;31,4
10.03.2020;32,92;31,7;33,8;30,96
09.03.2020;30,03;33,46;33,51;27,11
06.03.2020;40,03;44,44;44,61;39,95
05.03.2020;44,51;45,99;46,33;44,25
04.03.2020;45,92;46,8;47,63;45,84
03.03.2020;46,43;47,87;48,25;45,85
02.03.2020;46,6;43,95;47,76;43,45
28.02.2020;45,81;46,63;46,72;45,39
27.02.2020;47,42;48,33;48,39;46,32
26.02.2020;49,09;50,65;50,94;48,72
25.02.2020;50,49;51,88;52,36;50,19
24.02.2020;51,88;53,31;53,31;50,8
21.02.2020;53,96;54,42;54,65;53,25
20.02.2020;54,98;54,98;55,62;54,6
19.02.2020;54,7;53,29;54,96;53,21
18.02.2020;53,5;53,13;53,57;52,16
17.02.2020;53,22;52,87;53,24;52,44
14.02.2020;52,94;52,1;53,14;51,86
13.02.2020;51,97;51,43;52,42;50,7
12.02.2020;51,32;50,05;51,84;50,03
11.02.2020;49,46;49,1;50,08;49,08
10.02.2020;48,82;49,67;50,14;48,67
07.02.2020;49,76;50,38;50,61;49,53
06.02.2020;50,02;50,59;51,52;49,4
05.02.2020;50,25;49,13;51,32;49,13
04.02.2020;48,86;49,19;50,39;48,61
03.02.2020;49,22;50,77;51,32;48,89
31.01.2020;52,41;53,44;53,57;52,21
30.01.2020;52,82;54,01;54,05;52,29
29.01.2020;54,31;54,36;55,05;53,81
28.01.2020;53,99;53,56;54,55;53,08
27.01.2020;53,84;54,66;54,9;53,09
24.01.2020;55,05;56,24;56,65;54,65
23.01.2020;56,11;56,69;56,7;55,4
22.01.2020;56,98;58,21;58,22;56,45
21.01.2020;58,28;58,89;58,97;57,8
20.01.2020;58,76;59,46;59,48;58,5
17.01.2020;58,5;58,36;59,18;58,17
16.01.2020;58,02;57,7;58,33;57,37
15.01.2020;57,39;57,78;57,92;56,98
14.01.2020;57,96;57,78;58,46;57,45
13.01.2020;57,64;58,48;58,6;57,39
10.01.2020;58,46;58,74;59,07;58,35
09.01.2020;58,86;59,42;59,51;58,13
08.01.2020;58,89;64,1;64,57;58,44
07.01.2020;61,24;61,56;61,67;60,68
06.01.2020;61,55;61,94;63,18;60,92
03.01.2020;61,48;59,4;62,28;59,34
02.01.2020;59,3;59,44;59,59;58,82
31.12.2019;58,82;59,4;59,65;58,49
30.12.2019;61,1;60,88;61,59;60,85
27.12.2019;61;60,77;61,15;60,47
26.12.2019;61,21;60,62;61,27;60,58
24.12.2019;60,6;59,91;60,65;59,84
23.12.2019;59,86;59,64;60,06;59,33
20.12.2019;59,7;60,08;60,23;59,31
19.12.2019;59,81;59,49;60,02;59,35
18.12.2019;59,53;59,23;59,76;58,98
17.12.2019;59,26;58,56;59,39;58,39
16.12.2019;58,64;58,38;58,93;58,23
13.12.2019;58,65;58,06;59,16;58
12.12.2019;57,41;57,14;57,99;57,11
11.12.2019;57,23;57,48;57,71;56,59
10.12.2019;58;57,72;58,32;57,5
09.12.2019;58,06;58,09;58,28;57,48
06.12.2019;58,23;57,34;58,67;56,82
05.12.2019;57,07;56,7;57,54;56,5
04.12.2019;56,87;55,13;57,33;55,06
03.12.2019;54,88;55,09;55,57;54,42
02.12.2019;55;54,83;56,06;54,82
29.11.2019;56,66;57,88;57,96;56,6
28.11.2019;58;58,04;58,12;57,39
27.11.2019;58,2;58,17;58,69;57,7
26.11.2019;58,3;57,79;58,35;57,55
25.11.2019;57,78;57,74;57,92;57,16
22.11.2019;57,55;57,76;58,35;57,18
21.11.2019;57,83;56,25;57,89;55,98
20.11.2019;56,34;55,02;56,7;54,44
19.11.2019;54,98;56,22;56,48;54,79
18.11.2019;56,39;57,22;57,41;55,94
15.11.2019;57,26;56,51;57,58;55,81
14.11.2019;56,49;56,79;57,34;56,37
13.11.2019;56,66;56,19;57;55,62
12.11.2019;56,35;56,39;57,07;56,13
11.11.2019;56,37;56,75;56,89;55,81
08.11.2019;56,73;56,53;56,9;55,05
07.11.2019;56,37;55,86;56,91;55,79
06.11.2019;55,77;56,71;57,2;55,64
05.11.2019;56,85;56,02;57,05;55,84
04.11.2019;55,85;55,56;56,44;55,09
01.11.2019;55,25;;55,37;53,2
31.10.2019;54,02;54,32;54,82;53,87
30.10.2019;54,34;55,23;55,53;54,2
29.10.2019;55,41;55,43;55,76;54,58
28.10.2019;55,48;55,9;56,17;55,13
25.10.2019;55,97;55,5;56,06;54,99
24.10.2019;55,53;54,92;55,74;54,6
23.10.2019;54,95;53,43;55,07;52,87
22.10.2019;53,66;53,08;54,17;52,81
21.10.2019;52,89;53,13;53,42;52,26
18.10.2019;53,19;53,51;53,97;52,82
17.10.2019;53,85;53,02;53,96;52,75
16.10.2019;53,67;53,2;53,96;52,71
15.10.2019;53,24;53,75;54,09;52,57
14.10.2019;53,82;55,04;55,08;53,05
11.10.2019;54,8;53,91;54,96;53,62
10.10.2019;53,69;52,73;54,14;52,51
09.10.2019;53,14;52,87;54,08;52,77
08.10.2019;53,16;53,37;53,78;52,37
07.10.2019;53,18;52,88;54,4;52,88
04.10.2019;53,17;52,55;53,7;52,53
03.10.2019;52,6;52,45;52,86;51,18
02.10.2019;52,63;54,05;54,28;52,2
01.10.2019;53,88;54,33;54,99;53,44
30.09.2019;55,77;57,11;57,11;55,73
27.09.2019;56,59;57,11;57,36;55,54
26.09.2019;57,46;57,32;57,63;56,28
25.09.2019;57,01;57,06;57,39;55,95
24.09.2019;57,27;58,45;58,64;56,55
23.09.2019;58,91;59,33;59,57;57,78
20.09.2019;58,4;59,05;59,31;58,19
19.09.2019;58,32;57,52;59,38;57,47
18.09.2019;57,64;58,22;58,9;57,14
17.09.2019;58,3;61,55;62,56;57,4
16.09.2019;62,75;60,42;65,42;58,87
